truck_id,brand,model,year_manufactured,capacity_tons,engine_volume,mileage_start_km,tank_capacity_liters
TRK-01,DAF,XF 105,2015,22.0,12.9,392400,660
TRK-02,DAF,XF 106,2016,23.0,12.9,365800,660
TRK-03,DAF,CF 85,2017,21.5,12.9,338600,600
TRK-04,Volvo,FH 460,2018,24.0,12.8,304900,700
TRK-05,Scania,R450,2018,24.5,12.7,287200,700
TRK-06,MAN,TGX 18.440,2019,23.5,12.4,261500,730
TRK-07,Mercedes,Actros 1845,2019,24.0,12.8,249300,730
TRK-08,DAF,XF 480,2020,25.0,12.9,221700,760
TRK-09,Volvo,FH 500,2020,25.0,12.8,204600,780
TRK-10,Scania,G450,2021,24.0,12.7,176300,700
TRK-11,MAN,TGX 18.480,2021,24.5,12.4,164800,730
TRK-12,Mercedes,Actros 1848,2021,25.0,12.8,153900,730
